id_arrecadacao;id_uf;co_periodo;ANO2;MES;va_icms_primario;va_icms_secundario;va_icms_terciario;va_icms_terciario_atacadista;va_icms_terciario_varejista;va_icms_terciario_transportes;va_icms_terciario_comunicacao;va_icms_terciario_outros;va_icms_energia;va_icms_energia_secundario;va_icms_energia_terciario;va_icms_combustiveis;va_icms_combustiveis_secundario;va_icms_combustiveis_terciario;va_icms_divida_ativa;va_icms_outras;va_icms_total;va_outros_tributos_ipva;va_outros_tributos_itcd;va_outros_tributos_taxas;va_outros_tributos_outros;va_outros_tributos_total;va_receita_tributaria_total
160;RO;201004;2010;4;9222039;7728164;86924121;25525038;21970337;3136419;14219104;22073223;6921027;0;6921027;49111275;14774139;34337136;3730434;2053007;165690067;9598970;517516;3427575;26264470;39808531;205498598
429;AC;201004;2010;4;497283;920479;39541276;3868182;8077998;1216184;4871713;21507199;3796515;3796515;0;561369;4474;556895;502059;0;45818981;2856517;47411;189053;0;3092981;48911962
697;AM;201004;2010;4;3124407;206753371;205017013;55826790;42282979;12274797;27423027;67209420;12678957;0;0;66576210;0;0;331701;0;494481659;14886998;143043;244255;14453976;29728272;524209931
966;RR;201004;2010;4;20382;2840254;14644670;4562066;6330441;65838;3686320;5;2769417;2769417;0;11172547;10215705;956842;0;2722459;34169729;1714038;51518;60664;5851543;7677763;41847492
1235;PA;201004;2010;4;2560093;92122620;171002080;34151869;45571152;8699682;42348876;40230501;40089319;3337530;36751789;108357648;0;108357648;2369372;1055518;417556650;21814015;480123;7940733;22857762;53092633;470649283
1502;AP;201004;2010;4;316311;3026207;13156504;3018020;2896758;310480;4600847;2330399;277046;0;277046;16960071;0;16960071;28552;4639352;38404043;3000358;14745;1117912;293299;4426314;42830357
1770;TO;201004;2010;4;1501749;14046134;33623893;10398545;12437684;550752;8609837;1627075;9398899;9398899;0;30114225;30114225;0;440448;0;89125348;5471809;184090;1929565;1433844;9019308;98144656
2039;MA;201004;2010;4;504777;36849049;96639943;34599681;27335474;4162366;28204129;2338293;24641801;5489245;19152556;56446859;1726332;54720527;72293;5485819;220640541;28009499;497347;7243265;2044117;37794228;258434769
2307;PI;201004;2010;4;9792558;26256614;57120522;17300525;22081212;1405094;15156499;1177192;8302089;8302089;0;39511203;0;39511203;163268;89076;141235330;8321250;236408;777702;20781;9356141;150591471
2576;CE;201004;2010;4;482522;105911712;213852850;89930253;64235280;6658149;52916486;112682;59034653;59034653;0;91672273;87669929;4002344;3543799;19998506;494496315;45526448;2183432;739046;2550;48451476;542947791
